,blocks,repeat,P_ID,t_comp,t_IO,t_IO_plus_t_comp,t_end_loop,t_init,Communication,std_t_comp,std_t_IO,std_t_IO_plus_t_comp,std_t_end_loop,std_t_init,std_comm
0,1,3,0,225.72069754600003,799.4163941862,1027.133724358,0.009202003479013999,0.16780343055719998,0.011594629287719727,5.402025238129425,5.215510859630977,10.397882883185037,0.004145901643363816,0.00220984189289622,0.002184648750748135
1,24,3,23,11.902496004104615,41.37052407264709,53.55577483177185,0.20906691551208495,1.3369486808776856,3.930896282196045,0.3128331785225946,0.27360851607450276,0.3884335281765856,0.006974749387422754,0.4370735150599275,0.6502386262444841
2,48,3,47,6.218385457992554,23.33489489555359,29.62666597366333,0.41906061172485354,3.860002565383911,6.533125686645508,0.1674327450240232,0.6180780227777432,0.49214181163297177,0.019452204665022454,2.0253832398894835,2.7354152896698234
3,72,3,71,4.11787600517273,15.057442426681519,19.64237313270569,0.7058712005615234,3.9294971942901613,3.931387758255005,0.10141171417625662,0.234857767715284,0.3127549901841001,0.029152275681490265,1.2346073149318813,1.2440702421918548
4,96,3,95,3.0913124084472656,11.225088739395142,15.044593954086304,1.0005105972290038,2.6659191608428956,2.971024417877197,0.0932235442391853,0.12238067301380338,0.18112223164577895,0.008533498742056922,0.20432965550541807,0.21460956760914013
5,144,3,143,2.0542211532592773,7.82308554649353,11.44840316772461,1.8578123569488525,4.046519184112549,4.703098773956299,0.017588234723151377,0.1306871443812693,0.0767608815456279,0.015967478596830512,0.19415652058743862,0.2791665175056082
6,192,3,191,1.5945727825164795,6.572800207138061,9.713590574264526,2.1856260299682617,9.1907479763031,6.4624498844146725,0.03370330607432858,0.858010132226791,0.5979903328968719,0.02664274712971697,4.044972112238108,0.6379948790468564
