,blocks,repeat,P_ID,t_comp,t_IO,t_IO_plus_t_comp,t_end_loop,t_init,std_t_comp,std_t_IO,std_t_IO_plus_t_comp,std_t_end_loop,std_t_init
0,1,3,0,387.791601229,1318.86839814,1712.91194472,1.38282775879e-06,0.00116872787476,5.51071852233,10.4209992159,13.7290646813,3.53631901126e-07,9.97692734269e-05
1,24,3,23,25.4733535767,69.0879302025,94.971852541,4.11033630371e-05,0.000941705703735,1.36344946195,2.63970837066,3.99426207344,8.69786137364e-05,0.000424121871512
2,48,3,47,13.1769170284,35.2863251686,48.6760781765,2.52723693848e-06,0.00110716819763,0.50044868735,1.44340592311,1.91538468217,1.12588109523e-06,0.000642915413203
3,64,3,63,9.56455111504,26.7228896141,36.3815196991,3.45230102539e-05,0.00118551254272,0.482637135844,0.993489699098,1.40524981267,6.93731288384e-05,0.000610647572137
4,80,3,79,7.78269047737,27.5553183556,34.3709768772,3.19480895996e-06,0.000540161132812,0.313605272813,0.218283199811,0.08729967159,2.03425684049e-06,0.000323204265695
5,96,3,95,6.45058240891,23.6259379387,29.4551631451,3.95774841309e-06,0.000554943084717,0.260932087818,0.275938784233,0.311230759612,2.73194818699e-06,0.000340474695138
