,blocks,repeat,P_ID,t_comp,t_IO,t_IO_plus_t_comp_mean,t_end_loop,t_init,t_IO_plus_t_comp_max,std_comp,std_IO,t_tot_max,std_tot_max,t_comm_mean,t_comm_max,t_block_RMSD_mean,t_block_RMSD_max,std_t_comm_mean,std_t_comm_max,std_t_block_RMSD_mean,std_t_block_RMSD_max,speed_up,std_S,efficiency,std_E,Ideal_Scaling,Ideal_Efficiency
0,1,3.0,0.0,219.507354498,820.950165224,1042.47254543,0.0386415958404,0.138401937485,1088.23704195,9.80107545464,18.4936433434,1042.64460502,26.6004925247,0.0288997650146,0.0288997650146,1042.61570525,1042.61570525,0.00270846069791,0.00270846069791,26.6001148843,26.6001148843,1.0,0.0360801534034,1.0,0.0360801534034,1,1.0
1,24,3.0,11.5,8.89766898354,34.3038301269,43.2818155865,0.00421990950902,0.123159007231,46.8344960213,0.350791733796,0.691689085057,45.9858969688,0.855915933258,0.0110024511814,0.136561918259,43.4051534931,45.9557762146,0.000122798810388,0.00521220675111,0.245735190005,0.888926115291,22.6731383694,0.716024984138,0.944714098726,0.0298343743391,24,1.0
2,48,3.0,23.5,4.43222777645,16.9432874699,21.4166952004,0.00347472329934,0.113001703223,22.7836048603,0.188806496136,0.239507399619,22.6891312122,0.233295111123,0.00592672427495,0.156122779846,21.5298050473,22.6864347935,6.93563440328e-05,0.00338936586039,0.117535840026,0.233297394821,45.9534829811,1.26402421491,0.957364228772,0.0263338378106,48,1.0
3,72,3.0,35.5,2.96053763429,11.3035929647,14.2922997905,0.00347794559267,0.10620735089,15.353331089,0.121499548532,0.132250002688,15.1256359577,0.188653291968,0.0041355046961,0.164044952393,14.3985909747,15.1237708092,5.09241184098e-05,0.00362521865679,0.0177712254281,0.18864111854,68.9322821157,1.9575433215,0.957392807162,0.0271881016874,72,1.0
4,96,3.0,47.5,2.2302230527,8.51043410301,10.7627405723,0.00342257966598,0.106318328281,16.1805739403,0.123061838915,0.317485935084,13.002161026,2.11071333179,0.00336451530457,0.18479719162,10.8691302295,13.0007027149,1.03255097853e-05,0.00107274194418,0.0663618698805,2.11071510435,80.1901009326,13.1774879814,0.835313551381,0.137265499806,96,1.0
5,144,3.0,71.5,1.47537562152,5.65118155148,7.14244391455,0.00343916118145,0.104600656364,7.6637699604,0.0583120601021,0.0695663731435,7.65915093422,0.0929331224519,0.0025592919853,0.22146320343,7.24710276425,7.65811958313,1.36831536671e-05,0.00189370379836,0.00417723395431,0.0929348352993,136.130572954,3.84581069073,0.94535120107,0.0267070186856,144,1.0
6,192,3.0,95.5,1.10584111487,4.23700389291,5.35557264338,0.00345161731044,0.106478776534,5.70724487305,0.0451588503338,0.0498445328454,5.77793917656,0.0335439502781,0.00201520721118,0.232737541199,5.46210195099,5.77713384628,2.05773448816e-05,0.00387581235713,0.00363120810413,0.0335555549286,180.452679261,4.72149466181,0.939857704484,0.0245911180303,192,1.0
