,blocks,repeat,P_ID,t_comp,t_IO,t_IO_plus_t_comp_mean,t_end_loop,t_init,t_IO_plus_t_comp_max,std_comp,std_IO,t_tot_max,std_tot_max,t_comm_mean,t_comm_max,t_block_RMSD_mean,t_block_RMSD_max,std_t_comm_mean,std_t_comm_max,std_t_block_RMSD_mean,std_t_block_RMSD_max,speed_up,std_S,efficiency,std_E,Ideal_Scaling,Ideal_Efficiency
0,1,3.0,0.0,387.791601229,1318.86839814,1712.91194472,1.38282775879e-06,0.00116872787476,1728.29883265,5.51071852233,10.4209992159,1712.94452062,13.7276863292,0.0234025478363,0.0234025478363,1712.92111807,1712.92111807,0.0034490638135,0.0034490638135,13.728925966,13.728925966,1.0,0.0113336304551,1.0,0.0113336304551,1,1.0
1,24,3.0,11.5,15.4027810911,48.5305792252,64.1859840731,2.84115473429e-06,0.000571393966675,98.7370443344,4.56501543225,12.1453396232,94.9819844723,3.99466977404,0.00961477557818,0.0142282009125,64.1870092293,94.9729987621,0.000446373303621,0.000668277593257,1.17107132309,3.99440676313,18.0344149486,0.772123181904,0.751433956193,0.032171799246,24,1.0
2,48,3.0,23.5,8.35667534073,26.5874075939,35.077528139,1.15732351939e-06,0.00032355984052,50.3935902119,1.84130320582,4.99185854879,48.6867855549,1.91502180887,0.00894193351269,0.0130190372467,35.0781098704,48.6766951084,0.000372446223831,0.000276317639472,0.575522503688,1.91531148784,35.1829454562,1.41230058672,0.732978030338,0.0294229288901,48,1.0
3,64,3.0,31.5,6.4352335833,21.21552682,27.7539394125,1.65477395058e-06,0.000263337790966,38.6279594898,1.24363942391,3.44939890988,36.3894120216,1.40346843866,0.0090601913631,0.0127005577087,27.7544260159,36.3819655418,0.00031688169927,0.000375602233821,0.212724083793,1.40528167424,47.0726078124,1.85427815162,0.735509497068,0.0289730961191,64,1.0
4,80,3.0,39.5,5.18759695888,20.8163599348,26.087408396,1.16407871246e-06,0.000206563472748,34.4766454697,1.24233613428,4.32433691,34.3790816307,0.0865456813569,0.00929030835629,0.0132465839386,26.0878209567,34.371348381,0.000285144559787,0.000187640526325,0.164131292628,0.0873346873016,49.8251971654,0.418540139352,0.622814964568,0.0052317517419,80,1.0
5,96,3.0,47.5,4.40740073125,17.7455851426,22.2235978236,1.15036964417e-06,0.000176290174325,29.9521019459,0.966378376749,3.48626095199,29.4633058071,0.31112217817,0.00900891274214,0.0129414558411,22.2239766474,29.4555044651,0.000255682910889,0.000455624254962,0.0383790889826,0.311230756923,58.1382324112,0.770702881714,0.605606587617,0.00802815501785,96,1.0
