,blocks,repeat,P_ID,t_comp,t_IO,t_IO_plus_t_comp,t_end_loop,t_init,Communication,std_t_comp,std_t_IO,std_t_IO_plus_t_comp,std_t_end_loop,std_t_init,std_comm
0,1,3,0,304.258934546,1013.74705901,1320.21969376,0.132042980194,0.224411678314,0.142311477661,2.54752391556,2.8057924,3.2450304579,0.0999790307196,0.00399875342498,0.137243365293
1,20,3,19,12.4082612038,39.9851484299,52.255491209,0.0206805706024,0.273110961914,8.4039375782,0.224814276795,0.359232387516,0.525431396843,0.0110144632521,0.0587964046707,2.4438466808
2,40,3,39,5.98903365135,19.1805384636,25.1153269768,0.0499596595765,0.190194749832,5.36657481194,0.0860499349504,0.252457072766,0.181966843087,0.0749216224072,0.00388089696532,0.863064508289
3,80,3,79,3.07711582184,9.60521578789,12.6292583942,0.00479125976562,0.20973739624,15.5007860184,0.28329306936,0.130057955919,0.261370871446,0.00052326281812,0.0588053124489,12.1857131302
4,160,3,159,1.49654006958,4.82575907707,6.29384117127,0.00498456954956,0.294442892075,8.38883342743,0.0104234961687,0.0567496921818,0.0538399747848,0.000716167433166,0.0813463742665,1.19901535701
