,blocks,repeat,P_ID,t_comp,t_IO,t_IO_plus_t_comp_mean,t_end_loop,t_init,t_IO_plus_t_comp_max,std_comp,std_IO,t_tot_max,std_tot_max,t_comm_mean,t_comm_max,t_block_RMSD_mean,t_block_RMSD_max,std_t_comm_mean,std_t_comm_max,std_t_block_RMSD_mean,std_t_block_RMSD_max,speed_up,std_S,efficiency,std_E,Ideal_Scaling,Ideal_Efficiency
0,1,3.0,0.0,219.507354498,820.950165224,1042.47254543,0.0386415958404,0.138401937485,1088.23704195,9.80107545464,18.4936433434,1042.64460502,26.6004925247,0.0288997650146,0.0288997650146,1042.61570525,1042.61570525,0.00270846069791,0.00270846069791,26.6001148843,26.6001148843,1.0,0.0360801534034,1.0,0.0360801534034,1,1.0
1,8,3.0,3.5,27.6457130134,110.283189416,138.177440554,0.0108635187149,0.14954931736,396.460889101,1.50274296897,42.2076215715,189.052731419,116.105512483,0.0324941277504,0.149699544907,138.327471256,189.012580824,0.000408280035379,0.00657489728329,15.5160456537,116.049168553,5.51509939683,3.38998390951,0.689387424604,0.423747988688,8,1.0
2,16,3.0,7.5,13.5234541595,52.0409295172,65.6933355302,0.01089001894,0.58653793931,80.0022699833,0.588909627302,1.99057874104,77.206126976,13.7543966642,0.016462624073,0.14378619194,66.2801483184,77.1732124329,0.000189502895042,0.00546252118883,1.61378232331,13.7473226609,13.5046873332,2.43042686821,0.844042958324,0.151901679263,16,1.0
3,24,3.0,11.5,9.08785020908,36.0504383385,45.2286517898,0.0110961198807,0.167277689775,63.0411679745,0.446340856178,4.36055452748,52.0745327473,8.99258223396,0.0108872930209,0.134736871719,45.396120743,52.0693873405,0.00013733230715,0.00454323862504,2.5995691612,8.99256632793,20.0221595857,3.49509177801,0.834256649404,0.145628824084,24,1.0
4,32,3.0,15.5,7.00003456771,27.465186362,34.5365292072,0.0110419929028,1.00041478127,43.6330108643,0.435630798793,2.19136858164,50.1386925697,25.721212971,0.00809342116117,0.135801362991,35.5370962799,50.1348659992,6.09660406762e-05,0.00117713312293,2.4509475965,25.7211845789,20.7952092801,10.6811529597,0.649850290002,0.33378602999,32,1.0
5,40,3.0,19.5,5.52949529648,21.8164016843,27.4044134414,0.0108919274807,0.556027776003,33.7333881855,0.345028618905,1.66412153546,39.2698283672,10.4724395065,0.00657477617264,0.138193178177,27.9605723059,39.214012146,6.89731095706e-05,0.00270752433644,0.985944114009,10.4930122819,26.5507807996,7.11286402004,0.66376951999,0.177821600501,40,1.0
6,48,3.0,23.5,4.68773658772,19.3363681932,24.0759818147,0.0111737887065,0.850088926156,36.2063279152,0.31132936483,2.59726217558,41.5451802254,19.4514219479,0.00603385170301,0.162559080124,24.9261882802,41.5425629616,0.000110983703488,0.00536710397024,1.57883351824,19.4514106411,25.0966441681,11.7676615086,0.522846753503,0.245159614763,48,1.0
7,56,3.0,27.5,3.96061194028,21.4666220052,25.472557738,0.0111829221249,0.428775724343,56.5725870132,0.237300239841,11.9617061024,39.5327944279,20.4333593974,0.00549115794046,0.178697633743,25.9014404067,39.5305086136,0.00045643831637,0.0253740648049,12.3997834665,20.4333580188,26.3741690944,13.6486423083,0.470967305258,0.243725755506,56,1.0
8,72,3.0,35.5,3.13510483371,12.6343238539,15.8079780353,0.0113662375344,1.27800668014,22.0954108238,0.254676324442,1.29540910765,49.5507911205,31.2459158868,0.00453980763753,0.193605184555,17.086079173,49.5489489555,0.000720860080009,0.0490289483689,1.49556465038,31.2459124484,21.0419365955,13.279555285,0.292249119382,0.184438267847,72,1.0
