,blocks,repeat,P_ID,t_comp,t_IO,t_IO_plus_t_comp_mean,t_end_loop,t_init,t_IO_plus_t_comp_max,std_comp,std_IO,t_tot_max,std_tot_max,t_comm_mean,t_comm_max,t_block_RMSD_mean,t_block_RMSD_max,std_t_comm_mean,std_t_comm_max,std_t_block_RMSD_mean,std_t_block_RMSD_max,speed_up,std_S,efficiency,std_E,Ideal_Scaling,Ideal_Efficiency
0,1,3.0,0.0,21638.7017965,790.521153927,22647.54,0.00817394256592,0.16606593132,22647.54,0.0,0.0,22647.54,0.0,0.0145699977875,0.0145699977875,22647.54,22647.54,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1.0
1,8,3.0,3.5,2289.3146834,104.159263092,2393.74512105,0.0107318758965,0.152341473103,2787.68838,133.874622914,1.6612169391,2642.5874064,85.0396936658,169.185602903,380.99408226,2393.89796367,2642.57329597,93.2459366571,109.366544344,33.282669554,85.0341706916,8.57021415647,0.275793483596,1.07127676956,0.0344741854495,8,1.0
2,16,3.0,7.5,1159.21773411,53.7380758405,1213.0941732,0.0108628988266,0.157011535764,1451.7014091,83.2965600045,3.65989889399,1394.97564802,45.1670469811,96.9491335064,248.307337427,1213.25144073,1394.96571512,23.350944235,59.2484680613,16.7116314448,45.1676686539,16.2350791085,0.525665506687,1.01469244428,0.032854094168,16,1.0
3,24,3.0,11.5,769.341772548,35.8526641111,805.290620474,0.0106714864572,0.159230877956,945.35630703,43.7248922047,2.54423401915,915.564653206,35.0480468172,75.134434396,152.551464653,805.45003492,915.286102819,25.8202187834,41.7162162592,7.7151814565,34.7930048555,24.7361449797,0.946905894947,1.03067270749,0.0394544122894,24,1.0
4,32,3.0,15.5,577.869118932,153.41592575,731.360397048,0.0107032075524,0.962750886381,1785.90651703,37.9429870805,287.56184439,1018.94738417,672.971690235,226.748106797,450.164942789,732.323296712,931.546421432,324.050295008,662.80441188,282.297849405,477.989444994,22.2264077144,14.6796030883,0.694575241075,0.458737596508,32,1.0
5,40,3.0,19.5,466.494611726,22.0488525426,488.605540847,0.0105347216129,1.65374263406,585.22450614,30.6169119706,0.703628617659,587.521851587,27.115454883,75.3077681363,132.653032589,490.259412054,581.317094803,29.6075116647,27.9464334149,1.95344304301,30.8948702439,38.5475705096,1.77905707878,0.96368926274,0.0444764269694,40,1.0
6,48,3.0,23.5,388.613585673,19.5263204624,408.194029646,0.0105108936628,1.34779297411,493.187438965,22.9935229561,1.09087144412,504.851535177,18.2745800491,59.5665400892,115.74634757,409.541937644,484.343722582,11.1964459125,11.4271423083,2.96619921399,16.4703893183,44.8598021833,1.62383193645,0.934579212153,0.0338298320093,48,1.0
7,56,3.0,27.5,333.4990973,16.538868819,350.08587435,0.0104865074158,1.1202550292,437.675264835,21.1094367959,1.20000881638,444.504466391,48.3411517184,71.708649419,118.555472994,351.206234136,414.398862791,36.9915068786,50.5141810703,4.28590505488,21.4999362545,50.9500842228,5.54096963631,0.90982293255,0.0989458863627,56,1.0
8,64,3.0,31.5,292.660472548,14.7527056858,307.456197436,0.0105323255062,2.54933443069,366.561059952,17.7356512935,1.22070034188,455.548545551,24.2047284814,107.259384866,170.024588633,310.005628641,412.428344154,21.5792852462,21.6695326969,2.10869645532,48.3113418918,49.7148771984,2.64150794866,0.776794956225,0.0412735616978,64,1.0
9,72,3.0,35.5,259.402803038,32.3001965139,291.763257138,0.0314439747069,1.40030956997,446.158787966,14.5954960351,42.4975084539,541.704137611,354.351548476,120.681479517,274.191478205,293.163657867,372.819550085,94.8953679173,329.527935914,40.0778998843,49.4481081318,41.8079509229,27.3483459319,0.580665985041,0.379838137943,72,1.0
