,blocks,repeat,P_ID,t_comp,t_IO,t_IO_plus_t_comp,t_end_loop,t_init,Communication,std_t_comp,std_t_IO,std_t_IO_plus_t_comp,std_t_end_loop,std_t_init,std_comm
0,1,3,0,219.507354498,820.950165224,1042.47254543,0.0386415958404,0.138401937485,0.0131182193756,9.80107545464,18.4936433434,26.5988436777,0.0623691543505,0.00283997408457,0.00125113259236
1,24,3,23,9.7919872284,36.1067743301,45.7967048645,0.0195212364197,0.197683382035,0.00585465431213,0.217377857894,0.778870756117,0.861326269937,0.0348016240017,0.0274988236417,0.000271453734544
2,48,3,47,4.90142903328,17.7737150669,22.5715153694,0.00398683547974,0.160623264313,0.00279717445374,0.0676543664021,0.298912945155,0.234196624658,0.000171084394622,0.0392965306004,1.0096118992e-05
3,72,3,71,3.27765507698,11.7612686157,15.0129958153,0.00443277359009,0.121435976028,0.00230798721313,0.0414991352454,0.23274429467,0.192708106446,0.000736546779203,0.00731407315649,0.000659822342948
4,96,3,95,2.76827645302,10.117684412,12.8864900112,0.00552978515625,0.147542762756,0.00173578262329,0.412547112351,1.70080006629,2.10999556333,0.00243481622659,0.0212936319073,0.000519496976309
5,144,3,143,1.66746740341,5.98492341041,7.54924402237,0.0041296005249,0.139594268799,0.00123944282532,0.0530008035913,0.138557264538,0.0957009346361,0.000208259645568,0.0180977475331,0.000336268026916
6,192,3,191,1.23632488251,4.45581641197,5.65641732216,0.0042519569397,0.145712471008,0.000986385345459,0.0219776034148,0.0706117304104,0.0444273704685,0.000515552517253,0.0176273663083,0.000264138325966
