,blocks,repeat,P_ID,t_comp,t_IO,t_IO_plus_t_comp,t_end_loop,t_init,std_t_comp,std_t_IO,std_t_IO_plus_t_comp,std_t_end_loop,std_t_init
0,1,3,0,387.791601229,1318.86839814,1712.91194472,1.38282775879e-06,0.00116872787476,5.51071852233,10.4209992159,13.7290646813,3.53631901126e-07,9.97692734269e-05
1,28,3,27,25.7545935154,69.1133878708,95.2990227699,2.00271606445e-06,0.00107984542847,0.288384726241,0.878893722762,1.0821825276,1.30587233902e-07,0.000397822079022
2,56,3,55,12.8579259396,34.3352588654,47.4074141026,3.19480895996e-06,0.00110211372375,0.24712908169,0.684408294244,0.913173770649,2.61500732101e-06,0.000838874569497
3,84,3,83,8.76952219009,23.1158198357,32.0299658298,2.00271606445e-06,0.000749444961548,0.269085679039,0.378171284011,0.633976420076,1.30587233902e-07,0.000390399142823
