,blocks,repeat,P_ID,t_comp,t_IO,t_IO_plus_t_comp_mean,t_end_loop,t_init,t_IO_plus_t_comp_max,std_comp,std_IO,t_tot_max,std_tot_max,t_comm_mean,t_comm_max,t_block_RMSD_mean,t_block_RMSD_max,std_t_comm_mean,std_t_comm_max,std_t_block_RMSD_mean,std_t_block_RMSD_max,speed_up,std_S,efficiency,std_E,Ideal_Scaling,Ideal_Efficiency
0,1,3.0,0.0,387.791601229,1318.86839814,1712.91194472,1.38282775879e-06,0.00116872787476,1728.29883265,5.51071852233,10.4209992159,1712.94452062,13.7276863292,0.0234025478363,0.0234025478363,1712.92111807,1712.92111807,0.0034490638135,0.0034490638135,13.728925966,13.728925966,1.0,0.0113336304551,1.0,0.0113336304551,1,1.0
1,24,3.0,11.5,14.154206411,48.2138495008,62.6006484032,1.00334485372e-06,0.000687390565872,90.4195382595,3.91313113249,11.73333749,90.2702615261,0.192303581743,0.0101506710052,0.0157169818878,62.6017898262,90.2552231789,0.000413553991336,0.000514274882528,0.382958035472,0.192512238248,18.9757345515,0.157354277984,0.790655606314,0.00655642824932,24,1.0
2,48,3.0,23.5,8.52285529276,28.4210611085,37.0795294116,1.73052151998e-06,0.000368961691856,50.1473472118,2.06999518225,6.06841664608,49.6785747528,0.386536897214,0.00988163053989,0.0140646457672,37.0801685721,49.6674225807,9.87128522056e-05,0.00019416273921,0.199327654805,0.387185605062,34.4805487907,0.385142887477,0.718344766473,0.00802381015578,48,1.0
3,60,3.0,29.5,7.04116405249,23.6704759041,30.8236842203,1.60376230876e-06,0.000324161847432,40.8485972881,1.59360751427,4.60099098209,40.2143991947,0.4334543124,0.0101202996572,0.0140084266663,30.8242405367,40.2010858536,0.000483257851513,0.000509149465494,0.15070048923,0.433411791232,42.5953030486,0.572116098186,0.709921717477,0.0095352683031,60,1.0
4,78,3.0,38.5,5.64488989329,19.3627322937,25.0974814115,1.47024790446e-06,0.00021976691026,33.3636021614,1.16386695083,3.50063197684,31.9709854126,0.815270793682,0.00980819127499,0.0136685371399,25.0979213122,31.9585059166,0.000332014309651,0.000145219619429,0.415503750011,0.815972339228,53.5780958425,1.4321422048,0.686898664648,0.0183607974974,78,1.0
5,84,3.0,41.5,5.37296197641,18.4486964294,23.9072992546,1.84149969192e-06,0.000224815663837,30.0049057007,1.09554414398,3.14575241942,29.7751022339,0.238104754464,0.00990379481089,0.0135823249817,23.907732942,29.7618012428,0.000282851491104,0.000233185595697,0.0916763694664,0.23823198764,57.5294253286,0.651313334324,0.684874111055,0.00775373017052,84,1.0
