,blocks,repeat,P_ID,t_comp,t_IO,t_IO_plus_t_comp,t_end_loop,t_init,Communication,std_t_comp,std_t_IO,std_t_IO_plus_t_comp,std_t_end_loop,std_t_init,std_comm
0,1,3,0,219.507354498,820.950165224,1042.47254543,0.0386415958404,0.138401937485,0.0131182193756,9.80107545464,18.4936433434,26.5988436777,0.0623691543505,0.00283997408457,0.00125113259236
1,24,3,23,10.4615759373,41.5237049103,52.090761137,0.247169589996,3.32305378914,0.00759582519531,0.276042503552,0.435299631704,0.606812855184,0.0289358049677,2.07334485332,0.00301094708632
2,48,3,47,5.38291544914,21.6521051884,27.3134232044,0.447173213959,4.56762299538,0.00286221504211,0.114658391684,0.506786658228,0.561764660762,0.0179886051267,2.22676837486,9.02690649874e-06
3,72,3,71,3.75601820946,15.515586853,19.7291863918,0.884184026718,4.22397794724,0.00211100578308,0.246394296525,1.44299050484,1.67706148693,0.0482383588354,0.749464765976,2.58546234314e-05
4,96,3,95,2.75396699905,11.4492122173,15.0089370251,1.21961221695,4.68390159607,0.00291619300842,0.0128189544214,0.200832155468,0.288042224182,0.0218622277814,0.50278851831,0.00202974807183
5,144,3,143,1.81613693237,7.68453335762,10.7956513882,1.77907476425,4.23986573219,0.0013934135437,0.0354478312142,0.404793446134,0.237435447938,0.10555745217,0.238717959633,0.000300059590238
6,192,3,191,1.40401163101,5.73509011268,9.25819821357,2.60092577935,5.46212038994,0.00107164382935,0.0388632074968,0.119303533512,0.135447576077,0.0358363055382,0.203298985731,0.000106944938554
