,blocks,repeat,P_ID,t_comp,t_IO,t_IO_plus_t_comp_mean,t_end_loop,t_init,t_IO_plus_t_comp_max,std_comp,std_IO,t_tot_max,std_tot_max,t_comm_mean,t_comm_max,t_block_RMSD_mean,t_block_RMSD_max,std_t_comm_mean,std_t_comm_max,std_t_block_RMSD_mean,std_t_block_RMSD_max,speed_up,std_S,efficiency,std_E,Ideal_Scaling,Ideal_Efficiency
0,1,3.0,0.0,305.776969528,1027.61939816,1335.54075541,0.0285899162293,0.233746385574,1347.02377987,3.46567993694,10.3198141839,1335.8892066,13.6156107051,0.108940219879,0.108940219879,1335.78026638,1335.78026638,0.089084298636,0.089084298636,13.6270201252,13.6270201252,1.0,0.0144139059017,1.0,0.0144139059017,1,1.0
1,20,3.0,9.5,11.9495454025,38.994439857,51.0352522779,0.00913157463073,0.194716665745,52.1347200871,0.121890774099,0.513048430242,52.0364327908,0.271961466674,0.0130784463882,0.148554611206,51.2301691771,52.0318143845,0.00637726338536,0.0786691458704,0.257460712281,0.271954926433,25.6721903281,0.294050536578,1.28360951641,0.0147025268289,20,1.0
2,40,3.0,19.5,5.82828231573,18.9464301109,24.8208655024,0.0057881641388,0.191104142666,25.7952368259,0.0837508047333,0.29372440736,25.8642963886,0.107929871936,0.00564565420151,0.131857776642,25.0120826972,25.8618933678,0.00013343057715,0.00490994822083,0.0553655326776,0.107911432574,51.6499341999,0.568838333183,1.291248355,0.0142209583296,40,1.0
3,80,3.0,39.5,2.88958761096,9.38820132196,12.3014922303,0.00400203108788,0.189143050313,12.6334898472,0.0294169098252,0.0428191916588,12.7117055416,0.0587032698885,0.00332858502865,0.164216566086,12.4907135719,12.7104290485,1.99522332169e-05,0.00139994445583,0.00715330516239,0.0586954415245,105.091264286,1.17592716066,1.31364080358,0.0146990895083,80,1.0
4,160,3.0,79.5,1.45666136026,4.68870004535,6.15929839313,0.00409889638424,0.189016420841,6.41713500023,0.0303111708908,0.027140639114,6.56285824776,0.0330927816591,0.00220451891422,0.220291948318,6.34837313354,6.53235678673,0.000304450016393,0.0176799371246,0.029301876859,0.0586282303477,203.552957594,2.31466194219,1.27220598496,0.0144666371387,160,1.0
