,blocks,repeat,P_ID,t_comp,t_IO,t_IO_plus_t_comp,t_end_loop,t_init,Communication,std_t_comp,std_t_IO,std_t_IO_plus_t_comp,std_t_end_loop,std_t_init,std_comm
0,1,3,0,305.776969528,1027.61939816,1335.54075541,0.0285899162293,0.233746385574,0.0689437866211,3.46567993694,10.3198141839,13.619390493,0.0111389399511,0.00851067498294,0.0822527799883
1,20,3,19,12.1581391334,39.6209434509,51.8330041885,0.0134776115417,0.215743637085,0.0297654151917,0.0956157884779,0.202576450184,0.273604486854,0.00101452658643,0.0287003303129,0.0407419934661
2,40,3,39,6.01323914528,19.658457613,25.6692385673,0.0210599422455,0.23036441803,0.00688562393188,0.00749747906872,0.104634517592,0.109631468709,0.0152616679899,0.0188734800129,0.00335867234856
3,80,3,79,2.96781630516,9.56988859177,12.5204813957,0.00560121536255,0.207286548614,0.00226798057556,0.0131497610441,0.0964223161376,0.0636929598097,0.00094027985507,0.00560214299975,0.000831127724152
4,160,3,159,1.50815148354,4.8619682312,6.34014620781,0.00901165008544,0.238642215729,0.00427236557007,0.0327618494016,0.0498638312883,0.064859172051,0.0057061173809,0.0210539041115,0.00705928998104
