,blocks,repeat,P_ID,t_comp,t_IO,t_IO_plus_t_comp_mean,t_end_loop,t_init,t_IO_plus_t_comp_max,std_comp,std_IO,t_tot_max,std_tot_max,t_comm_mean,t_comm_max,t_block_RMSD_mean,t_block_RMSD_max,std_t_comm_mean,std_t_comm_max,std_t_block_RMSD_mean,std_t_block_RMSD_max,speed_up,std_S,efficiency,std_E,Ideal_Scaling,Ideal_Efficiency
0,1,3.0,0.0,225.720697546,799.416394186,1027.13372436,0.00920200347901,0.167803430557,1034.67701602,5.40202523813,5.21551085963,1027.31739416,10.3968671993,0.0115946292877,0.0115946292877,1027.30579953,1027.30579953,0.00218464875075,0.00218464875075,10.3986452925,10.3986452925,1.0,0.0143124127781,1.0,0.0143124127781,1,1.0
1,24,3.5,11.5,10.3851957992,35.4109066278,45.8845584691,0.00381043553352,0.171945539614,51.4651408195,0.449616930817,0.892261489248,70.1305572987,3.43917022456,9.60095195472,24.2565690279,46.056688033,49.3274678588,2.56889782452,4.45615785087,0.213679385781,1.58458222692,14.6486415299,0.733500501538,0.610360063746,0.0305625208974,24,1.0
2,48,3.5,23.5,5.19938694189,17.6014022318,22.8467407152,0.00350271662076,0.141827177256,24.1154844761,0.200515541035,0.289940965949,36.8010231853,4.91173881936,7.41099133467,14.0476759076,22.9886811326,24.1659711599,3.11534481262,4.88028735803,0.0563577152531,0.0963929605886,27.9154573771,3.73650075837,0.581572028689,0.0778437657994,48,1.0
3,72,3.5,35.5,3.46534837451,11.7347117199,15.2319966836,0.00347132980824,0.131507973704,16.5058920383,0.141265923392,0.201803494554,22.8119645119,2.6262954105,4.0147453977,7.63068026304,15.3635941487,16.4152371883,1.58202976436,2.54274537628,0.0466254637354,0.180885418597,45.0341483578,5.20468412751,0.625474282748,0.0722872795488,72,1.0
4,96,3.0,47.5,2.6287565127,8.95935833255,11.6132212783,0.00337484925985,0.121595151226,13.0346438885,0.130146776737,0.271299160575,17.6602498055,2.54907318277,3.10701661756,6.03896999359,11.7348934576,12.569280529,1.71071943001,2.42340454149,0.328566068341,0.420591929661,58.1711700275,8.41701638908,0.605949687787,0.087677254053,96,1.0
5,144,3.0,71.5,1.77635364135,6.04219403234,7.83660099804,0.00333856344223,0.118674200773,9.89835262299,0.133354120034,0.378944440357,13.4973517418,1.79416429275,2.60952715973,5.63817501068,7.95533786549,8.91105799675,0.890563966229,1.72438760481,0.51302721941,0.904700276599,76.1125155374,10.146699216,0.528559135677,0.0704631890002,144,1.0
6,192,3.0,95.5,1.33497691378,4.53405691932,5.88328122348,0.00340973337491,0.122795170546,6.95579791069,0.0666146737283,0.13352577587,13.2137823582,3.02460451851,3.88975554258,7.30021123886,6.00613191749,6.57153840065,2.53264060622,3.03531959593,0.104475524216,0.291073171892,77.7458994189,17.8132439165,0.404926559473,0.092777312065,192,1.0
