,blocks,repeat,P_ID,t_comp,t_IO,t_IO_plus_t_comp,t_end_loop,t_init,std_t_comp,std_t_IO,std_t_IO_plus_t_comp,std_t_end_loop,std_t_init
0,1,3,0,387.791601229,1318.86839814,1712.91194472,1.38282775879e-06,0.00116872787476,5.51071852233,10.4209992159,13.7290646813,3.53631901126e-07,9.97692734269e-05
1,24,3,23,22.4684500217,128.627052689,151.257256174,2.28881835937e-06,0.00208892822266,0.494941665039,1.02020253818,1.24786622614,1.78893389533e-06,0.000914767528688
2,48,3,47,12.1073123932,111.070121193,123.33601613,3.00407409668e-06,0.00113401412964,0.411212116364,11.3078146601,11.7193151533,2.45235268986e-06,0.000924600031313
3,60,3,59,9.93515014648,97.9372107029,107.939789104,1.95503234863e-06,0.00271372795105,0.212366625119,10.5988720704,10.8777275881,1.99475294717e-07,0.00181634546307
4,78,3,77,7.74841623306,81.643857336,89.4412288189,2.5749206543e-06,0.00167188644409,0.174201048276,7.35249667481,7.55317008474,1.36337074809e-06,0.00173973117899
5,84,3,83,7.10765771866,144.043359709,150.832839584,2.05039978027e-06,0.000667476654053,0.181644945827,17.3964798858,17.4531610134,1.30587233902e-07,0.000373720480114
