,blocks,repeat,P_ID,t_comp,t_IO,t_IO_plus_t_comp,t_end_loop,t_init,std_t_comp,std_t_IO,std_t_IO_plus_t_comp,std_t_end_loop,std_t_init
0,1,3,0,273.53669467,503.685750151,780.873096132,1.19209289551e-06,0.00152277946472,4.69555037271,2.57312721497,6.6481575751,2.38418579102e-07,8.80560540693e-05
1,20,3,19,12.9625319958,23.4493041992,36.4466222763,1.43051147461e-06,0.00146927833557,0.0600461499899,0.294761899643,0.29979264735,2.92001931999e-07,0.00024057147041
2,40,3,39,6.46226511002,12.2237544537,18.6695046902,1.47819519043e-06,0.00147414207458,0.0238086952688,0.433765859961,0.461714148813,1.06624029994e-07,0.000622064891072
3,80,3,79,3.24192948341,7.29857673645,10.5486258984,1.47819519043e-06,0.000741672515869,0.0137641045233,0.85296930002,0.85908302135,1.06624029994e-07,0.000311726498049
4,160,3,159,1.64425444603,4.58761115074,6.22386379242,1.52587890625e-06,0.000448560714722,0.0101802605689,0.961515631863,0.941808337581,1.30587233902e-07,0.000306005514091
5,320,3,319,0.817436790466,1.54609975815,2.36161613464,1.66893005371e-06,0.000400257110596,0.00422034441629,0.00909678649253,0.00723712337254,0.0,0.000421406386425
