,blocks,repeat,P_ID,t_comp,t_IO,t_IO_plus_t_comp,t_end_loop,t_init,std_t_comp,std_t_IO,std_t_IO_plus_t_comp,std_t_end_loop,std_t_init
0,1,3,0,387.791601229,1318.86839814,1712.91194472,1.38282775879e-06,0.00116872787476,5.51071852233,10.4209992159,13.7290646813,3.53631901126e-07,9.97692734269e-05
1,24,3,23,21.969630146,67.929480648,90.2541388512,1.43051147461e-06,0.000844764709473,0.379752854847,0.519321831645,0.192456828437,0.0,0.000101274504339
2,48,3,47,12.1233749866,37.3727473259,49.6668427944,3.1566619873e-05,0.0012818813324,0.340085349033,0.195443389002,0.387223637124,6.20572464538e-05,0.000985307515147
3,60,3,59,9.78709125519,30.3500627995,40.2005271435,3.26633453369e-05,0.000941038131714,0.235905288214,0.148831933058,0.433378146259,6.91734436967e-05,0.000577048743016
4,78,3,77,7.72164855003,24.1642835617,31.9581726551,3.11374664307e-05,0.000685977935791,0.0311647282832,0.889949937845,0.815988083179,6.61603180085e-05,0.000807758827974
5,84,3,83,7.17652163506,22.4999011517,29.7614249706,6.422996521e-05,0.000985956192017,0.0808089205553,0.174833684467,0.2382366743,8.05294883491e-05,0.000588006695897
